node_index,node_id,longitude,latitude,rain_susceptibility,rain_susceptibility_dense,sensitivity_hits,evidence_rows
4853,Interpolated_3336946,98.92964935302734,30.591379165649414,0.29717910289764404,0.6606075763702393,3.0,12
4854,Interpolated_3336949,98.93006134033203,30.59144401550293,0.0,0.34140199422836304,3.0,12
4855,Interpolated_3336952,98.9304428100586,30.59150505065918,0.0,0.3183833062648773,3.0,12
4856,Interpolated_3336955,98.93079376220703,30.59156036376953,0.0,0.5009319186210632,3.0,12
4857,Interpolated_3336958,98.93113708496094,30.591615676879883,0.0,0.2905043363571167,3.0,12
4858,Interpolated_3336961,98.9314956665039,30.591670989990234,0.0,0.41426151990890503,3.0,12
4859,Interpolated_3336964,98.93187713623047,30.591732025146484,0.0,0.4723166227340698,3.0,12
4860,Interpolated_3336967,98.9322738647461,30.591794967651367,0.015010940842330456,0.5283870100975037,3.0,12
4861,Interpolated_3339525,98.91667175292969,30.589447021484375,0.0,0.4825330376625061,3.0,12
4862,Interpolated_3339528,98.9169692993164,30.589492797851562,0.0,0.4448375701904297,3.0,12
4863,Interpolated_3339532,98.91735076904297,30.589553833007812,0.7057248950004578,0.8520471453666687,3.0,12
4864,Interpolated_3339537,98.9179458618164,30.589649200439453,0.0,0.2916073203086853,3.0,12
4865,Interpolated_3339542,98.91854095458984,30.58974266052246,0.0,0.2903018593788147,3.0,12
4866,Interpolated_3339545,98.91889190673828,30.589799880981445,0.027827544137835503,0.5343927145004272,3.0,12
4867,Interpolated_3339550,98.91940307617188,30.589879989624023,0.0,0.39027178287506104,3.0,12
4868,Interpolated_3339554,98.91979217529297,30.589941024780273,0.0,0.4897620677947998,3.0,12
4869,Interpolated_3339558,98.92022705078125,30.590011596679688,0.013764375820755959,0.5278028845787048,3.0,12
4870,Interpolated_3339561,98.9205322265625,30.590059280395508,0.0,0.2480195164680481,3.0,12
4871,Interpolated_3339566,98.92102813720703,30.590139389038086,0.46268194913864136,0.7381601929664612,3.0,12
4872,Interpolated_3339569,98.92132568359375,30.590187072753906,0.0,0.4784590005874634,3.0,12
4873,Interpolated_3339572,98.92162322998047,30.590234756469727,0.018685130402445793,0.5301086902618408,3.0,12
4874,Interpolated_3339575,98.92193603515625,30.590282440185547,0.0,0.49149417877197266,3.0,12
4875,Interpolated_3339578,98.92232513427734,30.59034538269043,0.15751618146896362,0.5951632261276245,3.0,12
4876,Interpolated_3339581,98.92272186279297,30.590408325195312,0.0013680423144251108,0.5219941139221191,3.0,12
4877,Interpolated_3339584,98.92316436767578,30.590476989746094,0.4270515441894531,0.721464216709137,3.0,12
4878,Interpolated_3339587,98.92353820800781,30.590538024902344,0.4270515441894531,0.721464216709137,3.0,12
4879,Interpolated_3339590,98.9238510131836,30.590587615966797,0.2138068825006485,0.621540367603302,3.0,12
4880,Interpolated_3339593,98.92415618896484,30.590635299682617,0.0,0.5212813019752502,3.0,12
4881,Interpolated_3339596,98.92448425292969,30.590688705444336,0.23372218012809753,0.6308724284172058,3.0,12
4882,Interpolated_3339599,98.92485809326172,30.59074592590332,0.13717833161354065,0.5856331586837769,3.0,12
4883,Interpolated_3339602,98.92523193359375,30.590805053710938,0.0,0.4417264461517334,3.0,12
4884,Interpolated_3339605,98.92559051513672,30.590862274169922,0.19741836190223694,0.6138609051704407,3.0,12
4885,Interpolated_3339608,98.92594909667969,30.59092140197754,0.0,0.3442825376987457,3.0,12
4886,Interpolated_3339611,98.92628479003906,30.590974807739258,0.0,0.3271685242652893,3.0,12
4887,Interpolated_3339614,98.92662811279297,30.591028213500977,0.09658912569284439,0.5666135549545288,3.0,12
4888,Interpolated_3339617,98.92701721191406,30.591089248657227,0.04302699863910675,0.5415149927139282,3.0,12
4889,Interpolated_3339620,98.9273681640625,30.591144561767578,0.0,0.31604528427124023,3.0,12
